LocationClient,LocationManager
"7,049","8,698"
"5,482","6,216"
"5,616","5,303"
"6,163","5,868"
"5,473","6,317"
"5,483","3,293"
"3,962","3,144"
"12,722","7,576"
"6,436","5,281"
"7,848","5,5"
"3,957","5,505"
